,Date,Price,NearStat,StatDist(miles),Prop_Type,Bedrooms,Bathrooms,Floor_Size,Outdoor,Portered,Contract_Type,Outcode,Outcode2,Outcode3,Postcode,Centrality,North,Links,Date_Scraped,Avg_price
917,20220727.0,700000.0,"Edgware Road (Circle, District, Hammersmith & City) Station",0.3,Flat,3.0,2.0,1024.0,0.0,1.0,,W2,W2,W22,W22QT,2.7465822820559542,1.0,,2022-09-02,312.0
918,20220601.0,575000.0,Kilburn High Road Station,0.3,Flat,2.0,1.0,,0.0,0.0,Leasehold,NW6,NW6,NW67,NW67GZ,6.039133990910369,1.0,,2022-09-02,133.0
919,20220607.0,500000.0,Essex Road Station,0.3,Apartment,1.0,1.0,492.0,1.0,0.0,Leasehold,N1,N1,N17,N17FZ,3.834462847793976,1.0,,2022-09-02,118.0
920,20211115.0,610000.0,Kentish Town Station,0.1,Flat,2.0,1.0,,1.0,0.0,Leasehold,NW5,NW5,NW52,NW52PG,5.071841660308757,1.0,,2022-09-02,121.0
921,20220627.0,625000.0,Belsize Park Station,0.2,Apartment,1.0,1.0,721.0,1.0,0.0,Freehold,NW3,NW3,NW32,NW32UW,5.316310196507855,1.0,,2022-09-02,181.0
922,20220803.0,600000.0,Kings Cross Thameslink Station,0.4,Maisonette,2.0,1.0,721.0,0.0,0.0,Leasehold,N1,N1,N10,N10SL,3.24339560662631,1.0,,2022-09-02,143.0
923,20220729.0,550000.0,Holland Park Station,0.0,Flat,,,226.0,1.0,0.0,Freehold,W11,W11,W113,W113SL,5.407143771725044,1.0,,2022-09-02,359.0
924,20220727.0,460000.0,Pimlico Station,0.3,Flat,1.0,1.0,,1.0,0.0,Leasehold,SW1V,SW1,SW1V3,SW1V3BJ,2.4947556931456227,1.0,,2022-09-02,159.0
925,20220808.0,650000.0,Holborn Station,0.2,Apartment,1.0,1.0,,0.0,1.0,Leasehold,WC1A,WC1,WC1A2,WC1A2JR,1.247230339238827,1.0,,2022-09-02,111.0
926,20220727.0,750000.0,Queen's Park Station,0.3,Apartment,2.0,2.0,,0.0,0.0,,W9,W9,W93,W93JJ,5.800928161536751,1.0,,2022-09-02,79.0
927,20220610.0,685000.0,Kilburn Station,0.1,Maisonette,2.0,2.0,,1.0,0.0,Leasehold,NW6,NW6,NW67,NW67QP,6.922745545412584,1.0,,2022-09-02,133.0
